region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,6.852207516764009e6,0.0,2.9621833056617817e6,0.0,769203.3642447892,0.0,0.0,0.0,0.0,1.0583592038912188e7,0.0,0.0,0.0,0.0,0.0,1.0583592038912188e7,1.0583594186670579e7,-2.1477583907544613
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,1.3355097974598211,0.0,0.33087839868032326,0.0,0.0,0.0,0.0,0.0,0.0,0.21529068667498402,0.0,0.0,0.0,0.0,0.0,0.21529068667498402,1.6663881961401443,-1.4510975094651604
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,1.8408371692977403,0.0,0.05309207825844628,0.0,0.003269306361087035,0.0,0.0,0.0,0.28679632950307765,0.8619942263143587,0.0,0.0,0.0,0.0,0.0,0.8619942263143587,2.1839948834203513,-1.3220006571059926
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,24.337948501094253,0.0,6.861479107937577,0.0,0.17744865351567393,2.643479208721023,0.0,0.4236057399069358,0.0,48.504568296281626,0.0,0.0,0.0,16.1803775667141,0.0,48.504568296281626,50.62433877788956,-2.1197704816079366
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,8.356071056402831e7,0.0,2.2846624858436875e7,0.0,1.331899185770431e6,1.0820695278987283e7,0.0,1.634653231804145e6,0.0,1.8660641141469696e8,0.0,0.0,0.0,6.641183045303176e7,0.0,1.8660641141469696e8,1.866064135720588e8,-2.1573618352413177
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,3.198957766038404e8,0.0,1.3649513201105085e8,0.0,2.3098468073245406e7,1.2374584648071223e8,0.0,6.564423189113418e6,0.0,6.7672183794575e8,0.0,0.0,0.0,6.692219344739485e7,0.0,6.7672183794575e8,6.767218398053572e8,-1.859607219696045
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,1.0399172983668435e9,0.0,3.8064422944333816e8,0.0,1.6200985294785553e8,9.223480144086132e8,0.0,3.19826520958649e7,0.0,2.5369020452815423e9,0.0,0.0,0.0,0.0,0.0,2.5369020452815423e9,2.536902047262515e9,-1.9809727668762207
NENGREST,NENGREST_nuclear_1,1,1,8,3.533376802033446,0.0,0.8755286550986886,0.0,0.09245412991066985,0.28762001604192605,0.0,0.045658497045544,0.0,2.803553943017612,0.0,0.0,0.0,0.0,0.0,2.803553943017612,4.834638100130275,-2.0310841571126628
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.4225024252607945,0.0,0.0742224861682262,0.0,0.0,0.0,0.0,0.0,0.0,0.19056294925053732,0.0,0.0,0.0,0.0,0.0,0.19056294925053732,0.4967249114290207,-0.30616196217848335
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,1.6326597372589436e9,0.0,6.14735532725188e8,0.0,0.0,0.0,0.0,0.0,0.0,2.2473952698197937e9,0.0,0.0,0.0,0.0,0.0,2.2473952698197937e9,2.247395269984132e9,-0.1643381118774414
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,4.888335310568776e8,0.0,1.3782471584185076e8,0.0,0.0,0.0,0.0,0.0,0.0,6.266582467282137e8,0.0,0.0,0.0,0.0,0.0,6.266582467282137e8,6.266582468987284e8,-0.17051470279693604
NENGREST,Liion_Moderate,1,1,12,2.0381878762985457e7,4.3237605711940385e7,6.074788229812145e6,1.2889107943948133e7,0.0,0.0,252680.0995761006,0.0,7.028922257096614e7,1.5312528184956416e8,0.0,0.0,0.0,0.0,0.0,1.5312528184956416e8,1.5312528331922835e8,-1.4696641862392426
NENGREST,TEGS,1,1,13,1.1941623218227161e8,1.9609036204286394e8,2.985405804566587e7,4.902260555841067e7,0.0,0.0,1.4862712656331526e6,0.0,2.1668678414812836e8,6.216005202605944e8,0.0,0.0,0.0,0.0,0.0,6.216005202605944e8,6.125563132429736e8,9.044207017620802e6
