Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.151230357256441e-7,7.043254299787804e-7,7.043245204840787e-7,0.0,0.0,1.7237729861885033e-6
t205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119649653033639e-7,7.034286682028323e-7,7.034268492134288e-7,0.0,0.0,1.7188204827196251e-6
t206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1910858232868525e-7,7.025319064268842e-7,7.025296326901298e-7,0.0,0.0,1.7241701214456993e-6
t207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1695029435694847e-7,7.016351446509361e-7,7.016342351562344e-7,0.0,0.0,1.720219674164119e-6
t208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0744482276587287e-7,7.007420208537951e-7,7.007399744907161e-7,0.0,0.0,1.708926818110384e-6
t209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53365519554046e-7,4.6741115511395037e-7,4.674101461432656e-7,0.0,0.0,1.1881868208112619e-6
t210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.495081968716911e-7,4.6741115511395037e-7,-1.0472026282237034e-10,0.0,0.0,7.168146317228192e-7
t211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6102330839720485e-7,4.6627246774733067e-7,-1.0497061642917221e-10,0.0,0.0,7.271908055281063e-7
t212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6309343976530675e-7,4.6627246774733067e-7,-1.0497061662810646e-10,0.0,0.0,7.292609368960094e-7
t213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.608182304286499e-7,4.674093361245468e-7,-1.0472026262783011e-10,0.0,0.0,7.281228462905689e-7
t214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0253771565460493e-7,6.918580766068771e-7,-7.123597000971126e-11,0.0,0.0,9.943245562914724e-7
t215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.927863062695687e-7,6.918580766068771e-7,-7.123596957607614e-11,0.0,0.0,9.845731469068697e-7
t216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8245888704789854e-7,6.936243153177202e-7,-7.105702922334349e-11,0.0,0.0,9.760121453363953e-7
t217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8503227874753623e-7,6.927421054570004e-7,-7.114644373383951e-11,0.0,0.0,9.777032377608028e-7
t218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268251159104184e-7,6.918580766068771e-7,-7.123597011115975e-11,0.0,0.0,9.644693522278079e-7
t219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6548646995714785e-7,6.909758667461574e-7,-7.132560861261132e-11,0.0,0.0,9.563910110946927e-7
t220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55497446512766e-7,6.900936568854377e-7,-7.141535924134159e-11,0.0,0.0,9.455196880389623e-7
t221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5113713428169075e-7,6.89215085003525e-7,-7.1505222144973e-11,0.0,0.0,9.402807140630709e-7
t222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9666456813858376e-7,4.662715582526289e-7,-1.0497061660781178e-10,0.0,0.0,6.628311557746048e-7
t223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7035639344940348e-7,4.6627246774733067e-7,-1.0497061688374968e-10,0.0,0.0,6.365238905798504e-7
t224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.490600092970691e-7,4.414005161379464e-7,4.414006298247841e-7,0.0,0.0,1.0318611552597997e-6
t225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2917091256483964e-7,3.325067154946737e-7,3.3250535125262104e-7,0.0,0.0,7.941829793121343e-7
t226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2775629251470502e-7,4.662706487579271e-7,4.66271103505278e-7,0.0,0.0,1.0602980447779101e-6
t227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2316557227192006e-7,4.662715582526289e-7,4.662706487579271e-7,0.0,0.0,1.055707779282476e-6
t228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2267224640860218e-7,5.551964932237752e-7,5.551955837290734e-7,0.0,0.0,1.2330643233614507e-6
t229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25456367833404e-7,5.55197402718477e-7,5.551964932237752e-7,0.0,0.0,1.235850263775656e-6
t230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3187688204648054e-7,6.813443178543821e-7,6.813443178543821e-7,0.0,0.0,1.4945655177552449e-6
t231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.338346375091513e-7,5.551955837290734e-7,5.551960384764243e-7,0.0,0.0,1.244226259714649e-6
t232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4337826969279507e-7,5.551955837290734e-7,5.551964932237752e-7,0.0,0.0,1.2537703466456436e-6
t233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2339705471064734e-7,4.6627246774733067e-7,4.662712740355346e-7,0.0,0.0,1.0559407964935126e-6
t234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.505463255605433e-8,4.6627246774733067e-7,-1.0497061744149192e-10,0.0,0.0,5.612221296859435e-7
t235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.838630654456872e-8,3.2824846130097285e-7,-1.4778822300336275e-10,0.0,0.0,3.964869796225382e-7
t236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1801253057282796e-8,4.6627246774733067e-7,-1.0497061727892078e-10,0.0,0.0,5.079687501873346e-7
t237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.033087992955729e-8,4.662715582526289e-7,-1.0497061729344398e-10,0.0,0.0,4.964974675648928e-7
t238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1953410483512836e-8,4.662715582526289e-7,-1.0497061692853847e-10,0.0,0.0,4.881199981192132e-7
t239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7324665035141538e-8,5.55197402718477e-7,-8.845787428238135e-11,0.0,0.0,5.724336098793361e-7
t240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2768256813744446e-8,6.727059371769428e-7,-7.32341410200309e-11,0.0,0.0,6.854009598496672e-7
t241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058958316869367e-8,5.551964932237752e-7,-8.845787385742605e-11,0.0,0.0,5.661669936667872e-7
t242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6626241495446852e-8,5.55197402718477e-7,-8.845787415113717e-11,0.0,0.0,5.717351863397727e-7
t243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.689753860951239e-8,5.55197402718477e-7,-8.845787344327953e-11,0.0,0.0,5.82006483454546e-7
t244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0896980945619776e-8,4.662715582526289e-7,-1.049706166898846e-10,0.0,0.0,4.970635685815588e-7
t245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.340897818087442e-8,4.662706487579271e-7,-1.049706168247084e-10,0.0,0.0,4.995746563219768e-7
t246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4770782307946105e-8,3.2362640922656283e-7,-1.4983473113724336e-10,0.0,0.0,3.582473568033717e-7
t247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181712934007667e-8,3.2320895115844905e-7,-1.5002217574017903e-10,0.0,0.0,3.748760583227856e-7
t248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.575008814556343e-8,3.1783497433934826e-7,3.1783481091451904e-7,0.0,0.0,6.914198733994307e-7
t249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881347529994291e-8,3.1783486065251054e-7,3.178347469656728e-7,0.0,0.0,6.844830829181263e-7
