BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1229,32726.958848470338,11661.041154457102,-2.9810900215618923e-6,0.0,0.0,5.384379349760779e-8,-1.9007456408357326e-10,0.0,0.0,-44388.0
t1230,32475.902444121766,13619.097558792677,-2.9680917488265654e-6,0.0,0.0,5.38437934841753e-8,-1.9007456448262297e-10,0.0,0.0,-46095.0
t1231,32232.340260059264,18316.659742837353,-2.950268243362738e-6,0.0,0.0,5.38437934731105e-8,-1.9007456484591348e-10,0.0,0.0,-50549.0
t1232,32003.76651714535,25498.23348572788,-2.9268848135752965e-6,0.0,0.0,5.384379346607159e-8,-1.9007456511024024e-10,0.0,0.0,-57502.0
t1233,29554.916176731855,29556.083824684534,-1.4700423025752961e-6,0.0,0.0,5.384379348364854e-8,-1.90074564632274e-10,0.0,0.0,-59111.0
t1234,61203.75175575708,2.7118272008481193e-6,-4285.751758515968,0.0,0.0,4.7444633336308454e-8,-3.8313209474874655e-10,0.0,0.0,-56918.0
t1235,89918.54043296126,2.3287442679236843e-5,-34569.54045629579,0.0,0.0,4.744673406139377e-8,-3.830637401135071e-10,0.0,0.0,-55349.0
t1236,103125.96014370355,6.595978242501974e-6,-48506.96015034565,0.0,0.0,4.652770194366872e-8,-4.1330474220618327e-10,0.0,0.0,-54619.0
t1237,111848.67878374933,1.9022262983898806e-5,-57962.6788028177,0.0,0.0,4.652770194315678e-8,-4.133047422166405e-10,0.0,0.0,-53886.0
t1238,114812.97275223416,1.9020545297886602e-5,-61390.97277130082,0.0,0.0,4.65277019434811e-8,-4.133047422015908e-10,0.0,0.0,-53422.0
t1239,118076.85915504821,1.9018631481249436e-5,-64721.85917411296,0.0,0.0,4.652770194300229e-8,-4.133047422169037e-10,0.0,0.0,-53355.0
t1240,118080.02243888221,1.901527527351991e-5,-64856.022457943596,0.0,0.0,4.6527701942664064e-8,-4.13304742226938e-10,0.0,0.0,-53224.0
t1241,115249.15091500198,1.9001517878648954e-5,-62009.15093404962,0.0,0.0,4.652770194263514e-8,-4.1330474222805123e-10,0.0,0.0,-53240.0
t1242,104265.1018667584,1.89162995347764e-5,-50921.101885720804,0.0,0.0,4.6527701939783775e-8,-4.1330474232390156e-10,0.0,0.0,-53344.0
t1243,85857.74643638844,1.8481783915159787e-5,-33036.74645491634,0.0,0.0,4.652770192733819e-8,-4.133047427331427e-10,0.0,0.0,-52821.0
t1244,46424.94327290367,8942.056731912227,-4.867990975838393e-6,0.0,0.0,5.232291087962381e-8,-2.333486715242136e-10,0.0,0.0,-55367.0
t1245,31595.67766751797,25229.322335750596,-3.3215603750467554e-6,0.0,0.0,5.3204481870985e-8,-2.0807859909619557e-10,0.0,0.0,-56825.0
t1246,32667.351276862355,23333.648726406856,-3.3222031074464546e-6,0.0,0.0,5.3204481870964396e-8,-2.0807859908950502e-10,0.0,0.0,-56001.0
t1247,33015.832556034155,20539.167447235664,-3.322806721984354e-6,0.0,0.0,5.3204481867949594e-8,-2.080785991521254e-10,0.0,0.0,-53555.0
t1248,29935.7077175346,19822.292285735766,-3.323349347615711e-6,0.0,0.0,5.320448186093489e-8,-2.0807859931110955e-10,0.0,0.0,-49758.0
t1249,29154.435176799594,16630.564826471214,-3.323797742848992e-6,0.0,0.0,5.320448185345317e-8,-2.080785994743792e-10,0.0,0.0,-45785.0
t1250,28955.838320172108,14262.161683099002,-3.324101625184231e-6,0.0,0.0,5.320448184582382e-8,-2.080785996543845e-10,0.0,0.0,-43218.0
t1251,29240.618719099974,12695.38128417122,-3.3241853734647086e-6,0.0,0.0,5.320448183607998e-8,-2.080785999109577e-10,0.0,0.0,-41936.0
t1252,29575.98510087484,11753.014907410778,-8.337764775980398e-6,0.0,0.0,5.2373631747602484e-8,-2.3188060898053172e-10,0.0,0.0,-41329.0
t1253,28622.345485012484,12638.654518258722,-3.3241935365239578e-6,0.0,0.0,5.3204481825249055e-8,-2.080786002072814e-10,0.0,0.0,-41261.0
t1254,28330.070865195725,13925.929138074034,-3.3227469930882355e-6,0.0,0.0,5.3204481822201715e-8,-2.08078600309772e-10,0.0,0.0,-42256.0
t1255,28099.623568526207,17770.37643474105,-3.3202427978513614e-6,0.0,0.0,5.320448181967223e-8,-2.0807860043392113e-10,0.0,0.0,-45870.0
t1256,28225.15177011034,23413.8482331529,-3.3162328584965892e-6,0.0,0.0,5.320448181825425e-8,-2.0807860054257864e-10,0.0,0.0,-51639.0
t1257,27145.983942187766,26115.016060585855,-2.8266121895909036e-6,0.0,0.0,5.320448181537889e-8,-2.080786006407261e-10,0.0,0.0,-53261.0
