Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.577717728772015,-23.88521046286673
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.57771771126321,-23.56853952584123
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.577717693502926,-23.0855985591209
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.57771767743387,-22.367992280612707
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.13573868801535,-21.32794851621559
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.12495817569502,-21.35464201349122
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.949969719868914,-21.38136884382202
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.760880506728423,-21.408129085449602
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.132586907903201,-21.434955988473643
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.132586905536558,-21.462322660356005
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.132586907043262,-21.493126180074313
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.132586911433798,-21.54878086865205
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.132586919118317,-21.671528920339757
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.79048768906304,-21.698652070426633
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.34326105339257,-21.725809121848172
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439305104296,-21.75300008704658
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439299755442,-21.77839752929403
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.514392954575975,-21.80288637098578
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439291896357,-21.825987701888256
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.514392887375045,-21.84698404361741
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439286002058,-21.864804955485997
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439283613544,-21.892170065532795
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439281225031,-21.919569452366982
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.514392788365164,-21.947003153394405
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439276448002,-21.974471211203536
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439274191345,-21.959805318628845
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.51439272422263,-21.92544404488857
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.514392712173766,-21.86317922297441
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.693969443679734,-21.762242352848933
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.66570322966279,-21.789479279737044
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.476719632012855,-21.816750322618564
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.476719241970983,-21.8440558839103
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.47671892253829,-21.871396282829274
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.476718669701548,-21.89877839952162
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.47671847518901,-21.926267126220313
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.476718342223585,-21.954444417033926
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.476718273319403,-21.988419732378926
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.535954469671765,-22.015939849576586
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.62931994827453,-22.04349452091612
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.50202686255033,-22.071083727521604
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.50202685178699,-22.094726504531405
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.50202682615486,-22.116259172903128
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.50202678567229,-22.13453777418738
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.50202673186428,-22.14781525355848
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.502026665970675,-22.153430852042366
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.50202659356273,-22.18071444325365
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.502026514258176,-22.208136887948648
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.50202642984388,-22.235932166304025
