Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t220,2.0383051964253187e-7,0.0,1.422667254573781e-7,1.4471117359344076e-7,3.061741045276632e-7,3.21820098156268e-7,2.074842427026872e-8,0.0,0.0,0.0,0.0,1.1395510456475506e-6
t221,2.1250690275159933e-7,0.0,1.4361595770924754e-7,1.4530800782486212e-7,3.2226024357052503e-7,3.5318798395926523e-7,2.0994629968455674e-8,0.0,0.0,0.0,0.0,1.1978737257839551e-6
t222,2.2760410384860084e-7,0.0,1.450826180270219e-7,1.4606289735789924e-7,3.3996579307043993e-7,3.91176776473815e-7,2.1254532217730567e-8,0.0,0.0,0.0,0.0,1.2711467209955075e-6
t223,2.5001774339514296e-7,0.0,1.4681413341178572e-7,1.4710343870399538e-7,3.5961215410400417e-7,4.381647988639183e-7,2.1531788415737332e-8,0.0,0.0,0.0,0.0,1.363244056894584e-6
t224,2.8260629471579956e-7,0.0,1.4899223632827595e-7,1.4861407024521495e-7,3.816063029685712e-7,4.978263094741947e-7,2.1830246029425703e-8,0.0,0.0,0.0,0.0,1.481475459761482e-6
t225,3.3203688392718426e-7,0.0,1.518592966400703e-7,1.5088109549274902e-7,4.06475279270551e-7,5.761552854190878e-7,2.2154064493787953e-8,0.0,0.0,0.0,0.0,1.6395619052434304e-6
t226,4.1570182701637977e-7,0.0,1.5576263735125402e-7,1.543793116373924e-7,4.3492816902408487e-7,6.836423045735328e-7,2.249777017825987e-8,0.0,0.0,0.0,0.0,1.8669120197809038e-6
t227,5.962919552263374e-7,0.0,1.6129747907193897e-7,1.6002545042293472e-7,4.682306068833969e-7,8.404695388825339e-7,2.2786257643156887e-8,0.0,0.0,0.0,0.0,2.249101288130299e-6
t228,5.038731291941244e-7,0.0,1.5217599109689625e-7,1.5259928910384345e-7,3.893350662071103e-7,5.893405612982149e-7,2.205693503198641e-8,0.0,0.0,0.0,0.0,1.809380971932176e-6
t229,4.4849313780764084e-7,0.0,1.4519344882114313e-7,1.4781558998006166e-7,3.328663728212879e-7,4.5267267571068717e-7,2.131367261328765e-8,0.0,0.0,0.0,0.0,1.5483548977541082e-6
t230,3.9470194407299494e-7,0.0,1.394994394415032e-7,1.4444037064173446e-7,2.903911460813044e-7,3.6631503436484615e-7,2.0604638993443133e-8,0.0,0.0,0.0,0.0,1.3559525735958263e-6
t231,3.105012589766969e-7,0.0,1.345632436737242e-7,1.417409295710259e-7,2.5721535427065107e-7,2.929380769634084e-7,1.993055244247753e-8,0.0,0.0,0.0,0.0,1.156889415897984e-6
t232,2.462488209371355e-7,0.0,1.3000187502234118e-7,1.3918499546444274e-7,2.3052895522658016e-7,2.4073765833860105e-7,1.9284691189314426e-8,0.0,0.0,0.0,0.0,1.005986996178415e-6
t233,1.9997613487777492e-7,0.0,1.255210217420303e-7,1.3631896833331388e-7,2.0853972605792996e-7,2.026625293602398e-7,1.8660013124889976e-8,0.0,0.0,0.0,0.0,8.916783934961788e-7
t234,1.654329890867993e-7,0.0,1.208875445127512e-7,1.3270123627605778e-7,1.9003873327281603e-7,1.7394847307781362e-7,1.805203809079021e-8,0.0,0.0,0.0,0.0,8.010610143170282e-7
t235,1.3862201385775758e-7,0.0,1.1588031707141401e-7,1.2796123925339042e-7,1.7428466344979794e-7,1.5173977370249324e-7,1.746904306048894e-8,0.0,0.0,0.0,0.0,7.259570503953421e-7
t236,1.1661666938478159e-7,0.0,1.101619019360652e-7,1.2150986195100278e-7,1.6004340648383312e-7,1.3398938202273252e-7,1.6948043848967383e-8,0.0,0.0,0.0,0.0,6.592692656273826e-7
t237,1.269158404027036e-7,0.0,1.1746266606878276e-7,1.2902443791922125e-7,1.8122336416033532e-7,1.4874338690723816e-7,1.7658261176454872e-8,0.0,0.0,0.0,0.0,7.21027956634736e-7
t238,1.360628427417345e-7,0.0,1.2417647428145278e-7,1.3458270587806325e-7,2.0589114937877155e-7,1.6565345262472527e-7,1.846919497344912e-8,0.0,0.0,0.0,0.0,7.848358198781964e-7
t239,1.4424333329959544e-7,0.0,1.3048598695416734e-7,1.3882431369026144e-7,2.378183328171659e-7,1.856610117564766e-7,1.931166694317558e-8,0.0,0.0,0.0,0.0,8.563446454608423e-7
t240,1.517971908056388e-7,0.0,1.3650728046125955e-7,1.4222007987122694e-7,2.807345514189226e-7,2.1010232104254902e-7,2.0181817932565838e-8,0.0,0.0,0.0,0.0,9.415432415321628e-7
t241,1.5919372991370628e-7,0.0,1.423465657388276e-7,1.451823191876554e-7,3.4140270902065607e-7,2.411539590232141e-7,2.108464611501513e-8,0.0,0.0,0.0,0.0,1.0503639289990745e-6
t242,1.670499900518641e-7,0.0,1.4809622938382437e-7,1.4810742181538857e-7,4.331530224735544e-7,2.8266900474616076e-7,2.202573287641959e-8,0.0,0.0,0.0,0.0,1.2011014013472119e-6
