region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
ERC_REST,ERC_REST_biomass_1,1,1,1,8.972451163054564e9,0.0,3.878756585769309e9,0.0,1.0749671996706593e9,0.0,0.0,0.0,0.0,1.392617494646584e10,0.0,0.0,0.0,0.0,0.0,1.392617494646584e10,1.3926174948494532e10,-2.0286922454833984
ERC_REST,ERC_REST_conventional_hydroelectric_1,1,1,2,0.049818533256982746,0.0,0.013791896477881281,0.0,0.0,0.0,0.0,0.0,0.0,0.001481145843765963,0.0,0.0,0.0,0.0,0.0,0.001481145843765963,0.06361042973486403,-0.062129283891098064
ERC_REST,NaturalGas_CCAvgCF_Moderate,1,1,3,3.3783949037096686,0.0,0.9527351721427477,0.0,0.0419756842135666,0.6253180640821338,0.0,0.17830534540180848,0.0,5.98482391845438,0.0,0.0,0.0,2.937542227001966,0.0,5.98482391845438,8.11427139655189,-2.129447478097511
ERC_REST,NaturalGas_CTAvgCF_Moderate,1,1,4,2.1939234074333453e8,0.0,5.99835891294902e7,0.0,3.41642149102534e6,2.7755896462677516e7,0.0,4.640325276929374e6,0.0,4.449702022160819e8,0.0,0.0,0.0,1.2978163121951477e8,0.0,4.449702022160819e8,4.4497020432297176e8,-2.106889843940735
ERC_REST,NaturalGas_CCCCSAvgCF_Moderate,1,1,5,2.0302755928730571e9,0.0,8.66290696329488e8,0.0,1.9387768827430427e8,1.038664493816215e9,0.0,3.2610666879788786e7,0.0,4.589015101157872e9,0.0,0.0,0.0,4.272959650207529e8,0.0,4.589015101157872e9,4.589015103193606e9,-2.035734176635742
ERC_REST,NaturalGas_CCS100_Moderate,1,1,6,1.6044451296755195e9,0.0,5.872801433616035e8,0.0,2.713990862749689e8,1.5451184220172021e9,0.0,4.1905604592534706e7,0.0,4.0501483838690977e9,0.0,0.0,0.0,0.0,0.0,4.0501483838690977e9,4.0501483859218287e9,-2.0527310371398926
ERC_REST,ERC_nuclear_1,1,1,7,3.541036790569829,0.0,0.8774235974265369,0.0,0.09349546941809518,0.290859569387138,0.0,0.04390612302380205,0.0,2.815595958032324,0.0,0.0,0.0,0.0,0.0,2.815595958032324,4.846721549825401,-2.0311255917930766
ERC_REST,LandbasedWind_Class3_Moderate_130,1,1,8,1.7029206221187856e9,0.0,6.411904403206615e8,0.0,0.0,0.0,0.0,0.0,0.0,2.3441110621201143e9,0.0,0.0,0.0,0.0,0.0,2.3441110621201143e9,2.3441110624394474e9,-0.3193330764770508
ERC_REST,UtilityPV_Class1_Moderate_100_0.2,1,1,9,6.561321058700431e9,0.0,1.8499389935598347e9,0.0,0.0,0.0,0.0,0.0,0.0,8.411260052142291e9,0.0,0.0,0.0,0.0,0.0,8.411260052142291e9,8.411260052260265e9,-0.11797428131103516
ERC_REST,Liion_Moderate,1,1,10,3.543162767247756e8,7.937951094823694e8,1.0560343197478093e8,2.3662991238794863e8,0.0,0.0,5.550311785635969e6,0.0,1.198710913732029e9,2.6946059550786576e9,0.0,0.0,0.0,0.0,0.0,2.6946059550786576e9,2.6946059560875397e9,-1.0088820457458496
ERC_REST,TEGS,1,1,11,4.2942483725546473e8,2.5335055410213882e8,1.0735620931395335e8,6.333765357322939e7,0.0,0.0,1.0925994977070173e7,0.0,2.0435315520422022e9,2.9663534201555743e9,0.0,0.0,0.0,0.0,0.0,2.9663534201555743e9,2.907926801264059e9,5.8426618891515255e7
