Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
t48,0.0,6.650029085135627e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61966.987461407145,212755.1569344857
t49,0.0,6.65202238410384e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61073.24140394979,190040.5926758293
t50,0.0,6.653755426127296e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61073.24145818058,167846.42790587357
t51,0.0,6.655205077820577e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61073.24151241137,146386.7137505813
t52,0.0,6.657273791142051e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61073.24156664212,125936.0525332391
t53,0.0,6.659025843602773e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59848.53143751342,106816.77401998892
t54,0.0,6.660481989187421e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55623.50041626361,89361.3354453885
t55,0.0,6.662559439443614e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45432.40156427708,73851.64180688912
t56,0.0,6.664347506664623e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25280.09766182898,60455.25582192139
t57,0.0,6.665851445116688e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032.151253323188,49189.244785696734
t58,0.0,6.668007145433148e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132203706118735e-6,39929.3770674875
t59,0.0,6.670004314210071e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3789255333517942e-5,56475.03470620737
t60,0.0,6.671747958465726e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.945808107286454e-6,94705.98777115284
t61,0.0,6.674151003639711e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10959.938654686253,136035.25849982895
t62,0.0,6.67627388685064e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30081.62344120908,176368.43146461883
t63,0.0,6.678110493388963e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50873.20941886353,215183.1650971309
t64,0.0,6.680571518238376e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71660.53330678021,251753.3894168466
