BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t30,36051.66404711174,13450.335955982126,-3.147190005596838e-6,0.0,0.0,5.3516960133763214e-8,-1.992453384110601e-10,0.0,0.0,-49502.0
t31,36212.41194404611,16233.588059033551,-3.1329762160201687e-6,0.0,0.0,5.351696013524903e-8,-1.992453384011517e-10,0.0,0.0,-52446.0
t32,35950.95451811416,20452.045484946448,-3.1139297958623707e-6,0.0,0.0,5.35169601368871e-8,-1.9924533839269502e-10,0.0,0.0,-56403.0
t33,35304.08946153698,23273.910540563607,-2.153911898183621e-6,0.0,0.0,5.351696013780467e-8,-1.9924533838539368e-10,0.0,0.0,-58578.0
t34,55570.74712056964,3401.2528829359953,-3.556188714556391e-6,0.0,0.0,5.083710408104176e-8,-2.771400081929834e-10,0.0,0.0,-58972.0
t35,84820.92042596283,3.2914472557924903e-6,-25912.92042930213,0.0,0.0,4.8192449546669366e-8,-3.590182805161e-10,0.0,0.0,-58908.0
t36,102828.1814380128,3.478571617000173e-6,-44383.18144153747,0.0,0.0,4.652770195560918e-8,-4.133047418405134e-10,0.0,0.0,-58445.0
t37,113737.78675680698,1.8623383839051402e-5,-56740.78677547647,0.0,0.0,4.652770195112785e-8,-4.133047419781506e-10,0.0,0.0,-56997.0
t38,115833.04999424006,1.860398364027154e-5,-60483.05001289016,0.0,0.0,4.652770194938587e-8,-4.1330474202232495e-10,0.0,0.0,-55350.0
t39,113145.99790595482,1.8574790733217065e-5,-59585.99792457574,0.0,0.0,4.652770194824194e-8,-4.133047420444411e-10,0.0,0.0,-53560.0
t40,108778.61487545038,1.853250596902555e-5,-56685.614894029015,0.0,0.0,4.6527701948118473e-8,-4.133047420346603e-10,0.0,0.0,-52093.0
t41,101728.81693628959,1.8474877446196023e-5,-50334.81695481058,0.0,0.0,4.6527701949002227e-8,-4.133047419983545e-10,0.0,0.0,-51394.0
t42,85169.44491227999,1.8402741061341927e-5,-33307.44493072886,0.0,0.0,4.6527701950729744e-8,-4.133047419455056e-10,0.0,0.0,-51862.0
t43,62234.46023759413,9.10239195352935e-6,-6749.4602467455825,0.0,0.0,4.936917698602747e-8,-3.2194557242363953e-10,0.0,0.0,-55485.0
t44,41643.94637589876,18902.05362657146,-2.5258190031463965e-6,0.0,0.0,5.573241029365926e-8,-1.3841320125270062e-10,0.0,0.0,-60546.0
t45,43896.67268516787,17679.327317302497,-2.5259595722610555e-6,0.0,0.0,5.573241029427243e-8,-1.3841320124421176e-10,0.0,0.0,-61576.0
t46,44014.81270852652,17823.187293943836,-2.5259491217924904e-6,0.0,0.0,5.573241029457911e-8,-1.3841320123797492e-10,0.0,0.0,-61838.0
t47,43745.60839871906,17203.39160375105,-2.5257077775481387e-6,0.0,0.0,5.573241029436821e-8,-1.384132012368565e-10,0.0,0.0,-60949.0
t48,43641.025429615685,14813.974572853827,-2.525115630056318e-6,0.0,0.0,5.5732410293201716e-8,-1.384132012480044e-10,0.0,0.0,-58455.0
t49,43689.44347140583,12046.556531062564,-2.5239949488102164e-6,0.0,0.0,5.573241028893788e-8,-1.3841320133819649e-10,0.0,0.0,-55736.0
t50,43257.69304505818,10978.307016976034,-6.20880554249115e-5,0.0,0.0,5.4039216474942346e-8,-1.8462416245182277e-10,0.0,0.0,-54236.0
t51,43305.046999408216,10624.953062625076,-6.208716270913923e-5,0.0,0.0,5.4039216474452404e-8,-1.8462416246249446e-10,0.0,0.0,-53930.0
t52,44218.16114703534,10133.83891499626,-6.208545806978734e-5,0.0,0.0,5.403921651364039e-8,-1.8462416137607223e-10,0.0,0.0,-54352.0
t53,44886.33745791641,10607.662544543788,-2.5157862328883196e-6,0.0,0.0,5.573241029017441e-8,-1.3841320130285625e-10,0.0,0.0,-55494.0
t54,45539.01265741429,12547.987345036468,-2.5063629262447458e-6,0.0,0.0,5.573241029340215e-8,-1.3841320123952912e-10,0.0,0.0,-58087.0
t55,46023.19307207135,17074.80693036639,-2.4933359432343113e-6,0.0,0.0,5.573241029557206e-8,-1.384132012206585e-10,0.0,0.0,-63098.0
t56,45023.84469387975,25192.155308540743,-2.4760648316513115e-6,0.0,0.0,5.5732410298452334e-8,-1.3841320118964043e-10,0.0,0.0,-70216.0
t57,45151.668321426536,26983.331680972027,-2.4541492411973012e-6,0.0,0.0,5.573241030097515e-8,-1.3841320113297895e-10,0.0,0.0,-72135.0
t58,63246.2302680732,6468.769733129447,-1.2582174374985516e-6,0.0,0.0,5.573241029137546e-8,-1.3841320137612812e-10,0.0,0.0,-69715.0
t59,83169.20139867792,2.129490461192393e-6,-16763.201400855105,0.0,0.0,4.8051914049210396e-8,-3.6351662807813077e-10,0.0,0.0,-66406.0
t60,102060.43115815372,1.819308223971921e-5,-38688.43117639447,0.0,0.0,4.805482193777371e-8,-3.6342339537201316e-10,0.0,0.0,-63372.0
t61,114411.29316735012,4.357851479902902e-6,-53779.29317175407,0.0,0.0,4.6527701959344095e-8,-4.133047417325299e-10,0.0,0.0,-60632.0
t62,119997.78043161021,1.8662931961064147e-5,-61696.780450319246,0.0,0.0,4.652770195658207e-8,-4.1330474180702013e-10,0.0,0.0,-58301.0
t63,118512.0390420727,1.863603477810501e-5,-62029.039060754876,0.0,0.0,4.652770195013371e-8,-4.1330474200701446e-10,0.0,0.0,-56483.0
t64,114670.23371382008,1.859639989400368e-5,-59806.2337324626,0.0,0.0,4.6527701949754405e-8,-4.133047420058355e-10,0.0,0.0,-54864.0
t65,106978.26797079637,1.854093391815558e-5,-52914.26798938343,0.0,0.0,4.652770195643914e-8,-4.133047417762661e-10,0.0,0.0,-54064.0
t66,88900.74938276483,1.846896803024659e-5,-34462.749401279914,0.0,0.0,4.652770195854011e-8,-4.1330474170971034e-10,0.0,0.0,-54438.0
t67,62667.187447887656,1.0287126339620994e-5,-4802.1874582233795,0.0,0.0,4.893146570623075e-8,-3.3561309588147517e-10,0.0,0.0,-57865.0
t68,36024.3814787334,26823.618524306086,-3.0930697455569114e-6,0.0,0.0,5.3761738564227206e-8,-1.9237045718873075e-10,0.0,0.0,-62848.0
t69,39432.62116442548,24210.378838614284,-3.0933451119591136e-6,0.0,0.0,5.3761738564341363e-8,-1.9237045719114244e-10,0.0,0.0,-63643.0
