region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,2.2436774211036134e8,0.0,9.699332340099548e7,0.0,2.4944966320956923e7,0.0,0.0,0.0,0.0,3.46306029694373e8,0.0,0.0,0.0,0.0,0.0,3.46306029694373e8,3.463060318323138e8,-2.137940764427185
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,1.3342650328994023,0.0,0.33057140581997363,0.0,0.0,0.0,0.0,0.0,0.0,0.21341383232547045,0.0,0.0,0.0,0.0,0.0,0.21341383232547045,1.664836438719376,-1.4514226063939055
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,1.860406503020028,0.0,0.05365461749593826,0.0,0.0033153474658661197,0.0,0.0,0.0,0.2841142075180957,0.8794784909801577,0.0,0.0,0.0,0.0,0.0,0.8794784909801577,2.201490675499928,-1.3220121845197705
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,25.42281911365317,0.0,7.167319457004606,0.0,0.17260383241154278,2.571305182009615,0.0,0.4222642221844658,0.0,50.44108268459676,0.0,0.0,0.0,16.801428656745326,0.0,50.44108268459676,52.55774046400872,-2.116657779411959
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,1.0876730715631907e8,0.0,2.973844820950341e7,0.0,1.569699680684879e6,1.2752648327800935e7,0.0,1.5338686378087858e6,0.0,2.376524895597758e8,0.0,0.0,0.0,8.329051964906485e7,0.0,2.376524895597758e8,2.3765249166118193e8,-2.1014061272144318
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,2.7454474164494145e8,0.0,1.1714446858797094e8,0.0,1.9083607354502834e7,1.0223695954641284e8,0.0,5.466428562621746e6,0.0,5.77483266066487e8,0.0,0.0,0.0,5.900706250757723e7,0.0,5.77483266066487e8,5.77483268204027e8,-2.137540102005005
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,1.0533396076425809e9,0.0,3.855572399102554e8,0.0,1.6165316295203605e8,9.203173211920131e8,0.0,3.2449997445269614e7,0.0,2.5533173270512605e9,0.0,0.0,0.0,0.0,0.0,2.5533173270512605e9,2.553317329142155e9,-2.0908946990966797
NENGREST,NENGREST_nuclear_1,1,1,8,3.538725002421804,0.0,0.8768517029394788,0.0,0.09247381317576968,0.2876812496615518,0.0,0.045844902470254266,0.0,2.8094593275530877,0.0,0.0,0.0,0.0,0.0,2.8094593275530877,4.841576670668858,-2.0321173431157704
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.41418799717278304,0.0,0.07277472528504436,0.0,0.0,0.0,0.0,0.0,0.0,0.18117719037162974,0.0,0.0,0.0,0.0,0.0,0.18117719037162974,0.4869627224578274,-0.30578553208619763
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,1.5288469731749458e9,0.0,5.756475382236764e8,0.0,0.0,0.0,0.0,0.0,0.0,2.104494511083215e9,0.0,0.0,0.0,0.0,0.0,2.104494511083215e9,2.1044945113986223e9,-0.31540727615356445
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,4.433021018111539e8,0.0,1.2498730617379658e8,0.0,0.0,0.0,0.0,0.0,0.0,5.682894078118457e8,0.0,0.0,0.0,0.0,0.0,5.682894078118457e8,5.682894079849504e8,-0.17310476303100586
NENGREST,Liion_Moderate,1,1,12,1.0928029554161206e7,2.0282095675996173e7,3.2570827293701447e6,6.046082251628304e6,0.0,0.0,144184.8419901127,0.0,3.714731093517448e7,7.780478465870652e7,0.0,0.0,0.0,0.0,0.0,7.780478465870652e7,7.780478598832041e7,-1.3296138942241669
NENGREST,TEGS,1,1,13,1.3328927845453973e8,1.4012267775346512e8,3.332231961372188e7,3.503068448606097e7,0.0,0.0,1.361010281628527e6,0.0,1.9982482893469995e8,5.496432054126457e8,0.0,0.0,0.0,0.0,0.0,5.496432054126457e8,5.429507995241163e8,6.69240588852942e6
