Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t103,1.1248992140312778e-7,0.0,0.0,1.2099302622228563e-7,1.1794554188116125e-7,2.464375229879682e-7,1.629881317751992e-7,2.4349528119947566e-8,0.0,0.0,0.0,0.0,0.0,7.852036723896898e-7
t104,1.163382396426121e-7,0.0,0.0,1.1811087214889786e-7,1.1634414331599274e-7,2.586362639928704e-7,1.7203818511770998e-7,2.4520824677198687e-8,0.0,0.0,0.0,0.0,0.0,8.059885288952817e-7
t105,1.9579863416780812e-7,0.0,0.0,1.4307541051466427e-7,1.3890130862825465e-7,1.6639396643457455e-6,4.326190319596947e-7,2.8567786124168253e-8,0.0,0.0,0.0,0.0,0.0,2.6029018357403353e-6
t106,2.10887638945419e-7,0.0,0.0,1.4189474859421744e-7,1.367360357893522e-7,2.93223051118301e-6,5.395694274764995e-7,2.9202531999574422e-8,0.0,0.0,0.0,0.0,0.0,3.990520893988073e-6
t107,2.3706138391551227e-7,0.0,0.0,1.4304486116638455e-7,1.375731505488306e-7,362.3013780914611,8.012489047451846e-7,2.995177370094895e-8,0.0,0.0,0.0,0.0,0.0,362.3013794403412
t108,2.394301006732493e-7,0.0,0.0,1.4052298023674002e-7,1.3606272651440595e-7,607.9550432170468,9.637907096698833e-7,3.005015247111295e-8,0.0,0.0,0.0,0.0,0.0,607.9550447269035
t109,2.0207200733189505e-7,0.0,0.0,1.3145453810629011e-7,1.2943352517936877e-7,2.526366970885948e-6,6.351736033125227e-7,2.911507975285667e-8,0.0,0.0,0.0,0.0,0.0,3.6536157245688812e-6
t110,1.829669581837612e-7,0.0,0.0,1.2449383313714017e-7,1.2512350074142786e-7,1.2581834811574679e-6,4.871107155746138e-7,2.831377736933872e-8,0.0,0.0,0.0,0.0,0.0,2.2061922661637495e-6
t111,1.7051779356497308e-7,0.0,0.0,1.1869039612786757e-7,1.218548095875018e-7,8.354556512654326e-7,3.999594884150373e-7,2.766432572781827e-8,0.0,0.0,0.0,0.0,0.0,1.6741424646886305e-6
t112,1.6063118072563936e-7,0.0,0.0,1.1380217032799139e-7,1.188048120650273e-7,6.240917376837765e-7,3.4137617593170755e-7,2.7151821994969256e-8,0.0,0.0,0.0,0.0,0.0,1.3858578987291115e-6
t113,1.5125980448047584e-7,0.0,0.0,1.0935998592998122e-7,1.1528070729839142e-7,4.97273390110683e-7,2.986897229728496e-7,2.6801773117039894e-8,0.0,0.0,0.0,0.0,0.0,1.1986653839094211e-6
t114,1.6307853894183927e-7,0.0,0.0,1.1057132194560953e-7,1.1660372674557644e-7,4.947734876210336e-7,3.4942639681459797e-7,2.7631956773756066e-8,0.0,0.0,0.0,0.0,0.0,1.262085428842413e-6
t115,3.118655477637051e-7,0.0,0.0,1.3082731631333045e-7,1.3682672771140368e-7,332.18609987965107,308.7138454362365,3.198261653249796e-8,0.0,0.0,0.0,0.0,0.0,640.8999459273898
t116,2.9910940091267734e-7,0.0,0.0,1.2620267865746843e-7,1.3090724316577645e-7,637.0353937959278,232.1482811778033,3.200474009816571e-8,0.0,0.0,0.0,0.0,0.0,869.1836755619553
t117,3.043935935308714e-7,0.0,0.0,1.2321858993042078e-7,1.2769950286231012e-7,4.263273050287056e-6,549.1668379004267,3.1988576814790175e-8,0.0,0.0,0.0,0.0,0.0,549.166842751
t118,3.212089561131159e-7,0.0,0.0,1.2132889438155253e-7,1.2608048113741312e-7,2.714480726572851e-6,788.8605450260005,3.207199553689988e-8,0.0,0.0,0.0,0.0,0.0,788.8605483411716
t119,3.474961856335322e-7,0.0,0.0,1.2025969994507297e-7,1.2559370120802442e-7,2.1304166609747277e-6,1749.8292503233545,3.2265230882659026e-8,0.0,0.0,0.0,0.0,0.0,1749.829253079386
t120,3.8032046278898884e-7,0.0,0.0,1.1984754022812948e-7,1.2611884912819672e-7,1.855160242914081e-6,444.85209279519955,3.255337427997567e-8,0.0,0.0,0.0,0.0,0.0,444.8520953092
t121,4.040560496106035e-7,0.0,0.0,1.2017084664485407e-7,1.2786838315792175e-7,1.7394022484576313e-6,1849.0580713837917,3.284670618175638e-8,0.0,0.0,0.0,0.0,0.0,1849.0580738081358
